date,mr,y
2025-04-22,50.0,1.0
2025-04-22,50.0,1.0
2025-04-22,50.0,1.0
2025-04-23,50.0,1.0
2025-04-23,50.0,1.0
2025-04-23,50.0,1.0
2025-04-24,50.0,1.0
2025-04-24,50.0,1.0
2025-04-24,50.0,1.0
2025-04-25,50.0,1.0
2025-04-25,50.0,1.0
2025-04-25,50.0,1.0
2025-04-26,50.0,1.0
2025-04-26,50.0,1.0
2025-04-26,50.0,1.0
2025-04-27,50.0,1.0
2025-04-27,50.0,1.0
2025-04-27,50.0,1.0
2025-04-28,50.0,1.0
2025-04-28,50.0,1.0
2025-04-28,50.0,1.0
2025-04-29,50.0,1.0
2025-04-29,50.0,1.0
2025-04-29,50.0,1.0
2025-04-30,50.0,1.0
2025-04-30,50.0,1.0
2025-04-30,50.0,1.0
2025-05-01,50.0,1.0
2025-05-01,50.0,1.0
2025-05-01,50.0,1.0
2025-05-02,50.0,1.0
2025-05-02,50.0,1.0
2025-05-02,50.0,1.0
2025-05-03,50.0,1.0
2025-05-03,50.0,1.0
2025-05-03,50.0,1.0
2025-05-04,50.0,1.0
2025-05-04,50.0,1.0
2025-05-04,50.0,1.0
2025-05-05,50.0,1.0
2025-05-05,50.0,1.0
2025-05-05,50.0,1.0
2025-05-06,50.0,1.0
2025-05-06,50.0,1.0
2025-05-06,50.0,1.0
2025-05-07,50.0,1.0
2025-05-07,50.0,1.0
2025-05-07,50.0,1.0
2025-05-08,50.0,1.0
2025-05-08,50.0,1.0
2025-05-08,50.0,1.0
2025-05-09,50.0,1.0
2025-05-09,50.0,1.0
2025-05-09,50.0,1.0
2025-05-10,50.0,1.0
2025-05-10,50.0,1.0
2025-05-10,50.0,1.0
2025-05-11,50.0,1.0
2025-05-11,50.0,1.0
2025-05-11,50.0,1.0
2025-05-12,50.0,1.0
2025-05-12,50.0,1.0
2025-05-12,50.0,1.0
2025-05-13,50.0,1.0
2025-05-13,50.0,1.0
2025-05-13,50.0,1.0
2025-05-14,50.0,1.0
2025-05-14,50.0,1.0
2025-05-14,50.0,1.0
2025-05-15,50.0,1.0
2025-05-15,50.0,1.0
2025-05-15,50.0,1.0
2025-05-16,50.0,1.0
2025-05-16,50.0,1.0
2025-05-16,50.0,1.0
2025-05-17,50.0,1.0
2025-05-17,50.0,1.0
2025-05-17,50.0,1.0
2025-05-18,50.0,1.0
2025-05-18,50.0,1.0
2025-05-18,50.0,1.0
2025-05-19,50.0,1.0
2025-05-19,50.0,1.0
2025-05-19,50.0,1.0
2025-05-20,50.0,1.0
2025-05-20,50.0,1.0
2025-05-20,50.0,1.0
2025-05-21,50.0,1.0
2025-05-21,50.0,1.0
2025-05-21,50.0,1.0
2025-05-22,50.0,1.0
2025-05-22,50.0,1.0
2025-05-22,50.0,1.0
2025-05-23,50.0,1.0
2025-05-23,50.0,1.0
2025-05-23,50.0,1.0
2025-05-24,50.0,1.0
2025-05-24,50.0,1.0
2025-05-24,50.0,1.0
2025-05-25,50.0,1.0
2025-05-25,50.0,1.0
2025-05-25,50.0,1.0
2025-05-26,50.0,1.0
2025-05-26,50.0,1.0
2025-05-26,50.0,1.0
2025-05-27,50.0,1.0
2025-05-27,50.0,1.0
2025-05-27,50.0,1.0
2025-05-28,50.0,1.0
2025-05-28,50.0,1.0
2025-05-28,50.0,1.0
2025-05-29,50.0,1.0
2025-05-29,50.0,1.0
2025-05-29,50.0,1.0
2025-05-30,50.0,1.0
2025-05-30,50.0,1.0
2025-05-30,50.0,1.0
2025-05-31,50.0,1.0
2025-05-31,50.0,1.0
2025-05-31,50.0,1.0
2025-06-01,50.0,1.0
2025-06-01,50.0,1.0
2025-06-01,50.0,1.0
2025-06-02,50.0,1.0
2025-06-02,50.0,1.0
2025-06-02,50.0,1.0
2025-06-03,50.0,1.0
2025-06-03,50.0,1.0
2025-06-03,50.0,1.0
2025-06-04,50.0,1.0
2025-06-04,50.0,1.0
2025-06-04,50.0,1.0
2025-06-05,50.0,1.0
2025-06-05,50.0,1.0
2025-06-05,50.0,1.0
2025-06-06,50.0,1.0
2025-06-06,50.0,1.0
2025-06-06,50.0,1.0
2025-06-07,50.0,1.0
2025-06-07,50.0,1.0
2025-06-07,50.0,1.0
2025-06-08,50.0,1.0
2025-06-08,50.0,1.0
2025-06-08,50.0,1.0
2025-06-09,50.0,1.0
2025-06-09,50.0,1.0
2025-06-09,50.0,1.0
2025-06-10,50.0,1.0
2025-06-10,50.0,1.0
2025-06-10,50.0,1.0
2025-06-11,50.0,1.0
2025-06-11,50.0,1.0
2025-06-11,50.0,1.0
2025-06-12,50.0,1.0
2025-06-12,50.0,1.0
2025-06-12,50.0,1.0
2025-06-13,50.0,1.0
2025-06-13,50.0,1.0
2025-06-13,50.0,1.0
2025-06-14,50.0,1.0
2025-06-14,50.0,1.0
2025-06-14,50.0,1.0
2025-06-15,50.0,1.0
2025-06-15,50.0,1.0
2025-06-15,50.0,1.0
2025-06-16,50.0,1.0
2025-06-16,50.0,1.0
2025-06-16,50.0,1.0
2025-06-17,50.0,1.0
2025-06-17,50.0,1.0
2025-06-17,50.0,1.0
2025-06-18,50.0,1.0
2025-06-18,50.0,1.0
2025-06-18,50.0,1.0
2025-06-19,50.0,1.0
2025-06-19,50.0,1.0
2025-06-19,50.0,1.0
2025-06-20,50.0,1.0
2025-06-20,50.0,1.0
2025-06-20,50.0,1.0
2025-06-21,50.0,1.0
2025-06-21,50.0,1.0
2025-06-21,50.0,1.0
2025-06-22,50.0,1.0
2025-06-22,50.0,1.0
2025-06-22,50.0,1.0
2025-06-23,50.0,1.0
2025-06-23,50.0,1.0
2025-06-23,50.0,1.0
2025-06-24,50.0,1.0
2025-06-24,50.0,1.0
2025-06-24,50.0,1.0
2025-06-25,50.0,1.0
2025-06-25,50.0,1.0
2025-06-25,50.0,1.0
2025-06-26,50.0,1.0
2025-06-26,50.0,1.0
2025-06-26,50.0,1.0
2025-06-27,50.0,1.0
2025-06-27,50.0,1.0
2025-06-27,50.0,1.0
2025-06-28,50.0,1.0
2025-06-28,50.0,1.0
2025-06-28,50.0,1.0
2025-06-29,50.0,1.0
2025-06-29,50.0,1.0
2025-06-29,50.0,1.0
2025-06-30,50.0,1.0
2025-06-30,50.0,1.0
2025-06-30,50.0,1.0
2025-07-01,50.0,1.0
2025-07-01,50.0,1.0
2025-07-01,50.0,1.0
2025-07-02,50.0,1.0
2025-07-02,50.0,1.0
2025-07-02,50.0,1.0
2025-07-03,50.0,1.0
2025-07-03,50.0,1.0
2025-07-03,50.0,1.0
2025-07-04,50.0,1.0
2025-07-04,50.0,1.0
2025-07-04,50.0,1.0
2025-07-05,50.0,1.0
2025-07-05,50.0,1.0
2025-07-05,50.0,1.0
2025-07-06,50.0,1.0
2025-07-06,50.0,1.0
2025-07-06,50.0,1.0
2025-07-07,50.0,1.0
2025-07-07,50.0,1.0
2025-07-07,50.0,1.0
